epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
46,3724.92,0.93333,0.69371,1.12348,0.88529,0.84669,0.90649,0.72277,0.8009,0.51656,1.00354,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,3805.74,0.93034,0.68616,1.12058,0.91403,0.82118,0.90681,0.7213,0.80307,0.51542,1.00461,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,3886.97,0.93556,0.68881,1.11973,0.89229,0.8416,0.90713,0.71902,0.80269,0.51658,1.003,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,3970.63,0.92375,0.6765,1.11555,0.89278,0.83748,0.90588,0.7202,0.80332,0.51459,1.00277,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,4052.41,0.92361,0.66778,1.11427,0.93007,0.81194,0.90607,0.7192,0.80211,0.51534,1.00241,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,4133.62,0.91708,0.6717,1.1151,0.92766,0.8096,0.90622,0.72101,0.80305,0.5192,1.00359,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,4216.53,0.91092,0.66084,1.11045,0.92317,0.80863,0.90598,0.7219,0.80339,0.52054,1.00348,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,4298.94,0.90923,0.65495,1.11131,0.92976,0.80614,0.90443,0.72098,0.80111,0.5223,1.00258,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,4381.19,0.9006,0.65522,1.10812,0.93343,0.79962,0.90471,0.72027,0.80136,0.52371,1.00358,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,4463.13,0.90171,0.64702,1.10432,0.92689,0.80178,0.90144,0.71847,0.79999,0.52345,1.00255,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,4545.72,0.89215,0.64292,1.10507,0.90654,0.81847,0.90222,0.71951,0.79996,0.52441,1.00296,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,4627.44,0.89186,0.64293,1.10324,0.90388,0.82191,0.90286,0.72145,0.79945,0.5251,1.00256,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,4708.8,0.88629,0.63248,1.09936,0.90435,0.81957,0.90189,0.72037,0.7984,0.52559,1.0023,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,4792.04,0.88335,0.63029,1.09484,0.90327,0.82346,0.90211,0.72087,0.79849,0.52614,1.00202,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,4877.51,0.88045,0.63022,1.09364,0.90703,0.82176,0.90284,0.72079,0.79907,0.52697,1.00215,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,4959.64,0.87588,0.62133,1.09088,0.90933,0.82016,0.90346,0.7218,0.79927,0.52699,1.002,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,5040.95,0.87379,0.6164,1.09153,0.87086,0.85625,0.90344,0.72203,0.79927,0.52687,1.00218,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,5122.9,0.8715,0.61719,1.09108,0.86728,0.85591,0.90285,0.72149,0.79938,0.52712,1.00234,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,5205.34,0.86696,0.60855,1.08819,0.86675,0.85216,0.90126,0.72145,0.79947,0.5265,1.00225,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,5287.15,0.86463,0.60657,1.08618,0.86821,0.85596,0.90123,0.72136,0.79905,0.52531,1.00165,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,5371.59,0.85555,0.59922,1.08129,0.86618,0.85626,0.90138,0.72191,0.79906,0.52579,1.00184,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
